ticket_id,timestamp,complaint_text,department_id,district,neighborhood,latitude,longitude,platform
1,2024-12-25 22:13:26,"Günaydın, apartmanımızda 3 gündür su basıncı çok düşük. Üst katlara hiç su çıkmıyor, özellikle gece saatlerinde problem oluyor. Çocuklar var, banyo yapamıyoruz. Komşular da aynı şikayette, lütfen kontrol edin.",1,Büyükçekmece,Güzelce,41.029684,28.591755,İstanbul Senin
2,2024-12-25 08:35:29,"Merhabalar, Kennedy Sokağında sabahtan beri su yok. Hiç bilgilendirme yapılmadı, ne zaman gelecek bilmiyoruz. Evde hasta annem var, çok zor durumda kaldık. Lütfen bir an önce müdahale edin ve bilgilendirme yapın.",1,Üsküdar,Beylerbeyi,41.043009,29.042758,İstanbul Senin
3,2024-12-26 22:18:04,"Günaydın, apartmanımızda 3 gündür su basıncı çok düşük. Üst katlara hiç su çıkmıyor, özellikle gece saatlerinde problem oluyor. Çocuklar var, banyo yapamıyoruz. Komşular da aynı şikayette, lütfen kontrol edin.",1,Beşiktaş,Levent,41.075523,29.010404,Email
4,2024-12-27 20:23:29,"İyi günler, su faturamız anormal derecede yüksek geldi. Normalde 50-60 TL iken bu ay 380 TL. Sayaç kontrolü yapılabilir mi? Bu kadar su kullanmamız imkansız, bir hata olmalı.",1,Şişli,Mecidiyeköy,41.063021,28.991485,Email
5,2024-12-25 11:43:20,"Merhaba, sokağımızda 2 gündür kanalizasyon taşması var. Koku dayanılmaz hale geldi, sağlık sorunu oluyor. Hem de yolda yürürken ayakkabılarımız kirleniyor. Lütfen acil ekip gönderin, bu kadar sürmemeli.",1,Beşiktaş,Levent,41.074852,29.010375,İstanbul Senin
6,2024-12-27 01:15:35,"Selam belediye, Barbaros Caddesinde dün akşamdan beri büyük su kaçağı var. Asfalt çökmüş, arabalar geçerken sıçratıyor. Hem su israfı var hem de tehlike oluşturuyor. Lütfen ekip gönderin.",1,Fatih,Aksaray,41.015653,28.953180,İstanbul Senin
7,2024-12-26 07:50:53,"Günaydın, apartmanımızda 3 gündür su basıncı çok düşük. Üst katlara hiç su çıkmıyor, özellikle gece saatlerinde problem oluyor. Çocuklar var, banyo yapamıyoruz. Komşular da aynı şikayette, lütfen kontrol edin.",1,Kartal,Yakacık,40.912759,29.176929,Email
8,2024-12-25 02:49:51,"Günaydın, apartmanımızda 3 gündür su basıncı çok düşük. Üst katlara hiç su çıkmıyor, özellikle gece saatlerinde problem oluyor. Çocuklar var, banyo yapamıyoruz. Komşular da aynı şikayette, lütfen kontrol edin.",1,Kartal,Kordonboyu,40.903467,29.167169,Email
9,2024-12-26 05:31:31,"Selam belediye, Fatih Caddesinde dün akşamdan beri büyük su kaçağı var. Asfalt çökmüş, arabalar geçerken sıçratıyor. Hem su israfı var hem de tehlike oluşturuyor. Lütfen ekip gönderin.",1,Kadıköy,Moda,40.983160,29.023760,ALO153
10,2024-12-25 20:00:35,"İyi günler, su faturamız anormal derecede yüksek geldi. Normalde 50-60 TL iken bu ay 380 TL. Sayaç kontrolü yapılabilir mi? Bu kadar su kullanmamız imkansız, bir hata olmalı.",1,Üsküdar,Beylerbeyi,41.042457,29.039852,İstanbul Senin
